,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
20071210,2.68,1.39,0.99,1.06,0.82,0.58,0.36,0.62,0.52,0.61
20071211,-5.66,-4.37,-3.87,-2.84,-2.56,-1.96,-2.09,-1.71,-2.04,-2.92
20071212,-1.25,-1.78,-0.72,-0.3,0.29,0.37,1.47,0.85,0.75,1.29
20071213,-1.06,-0.68,-0.71,-0.3,-0.04,0.17,0.47,0.49,0.18,0.06
20071214,-2.7,-1.77,-1.96,-1.49,-1.83,-1.16,-1.48,-0.87,-1.2,-1.05
20071217,-1.42,-0.83,-1.42,-1.09,-1.19,-0.76,-1.53,-1.82,-1.84,-3.01
20071218,1.08,0.69,0.92,0.28,0.72,0.7,0.91,0.51,0.8,0.6
20071219,-0.64,-0.81,-0.46,-0.14,-0.31,-0.36,-0.11,-0.13,0.32,0.67
20071220,-0.59,-0.05,0.43,-0.07,0.38,0.63,0.84,1.02,0.35,1.56
20071221,2.06,2.1,1.84,1.35,1.48,1.31,1.9,1.48,1.75,2.14
20071224,1.6,0.95,1.16,0.81,0.46,0.78,0.62,0.7,0.65,1.32
20071226,0.16,-0.71,-0.25,-0.15,-0.24,-0.33,0.4,0.31,0.11,0.88
20071227,-1.97,-2.08,-1.94,-2.06,-1.55,-1.33,-1.3,-1.29,-1.31,-1.4
20071228,-1.93,-0.52,-0.12,-0.36,-0.25,0.15,0.29,0.55,0.4,0.22
20071231,1.24,0.2,-0.21,-0.03,-0.13,-0.77,-0.97,-1.15,-0.73,-0.9
20080102,-2.43,-2.42,-2.15,-1.75,-1.6,-1.51,-1.54,-1.04,-1.4,-0.58
20080103,-2.49,-1.5,-1.12,-1.13,-0.33,-0.2,0.35,0.22,0.04,0.92
20080104,-4.92,-3.71,-2.85,-2.75,-2.31,-1.83,-2.28,-1.73,-2.79,-3.7
20080107,0.36,0.15,0.32,0.26,0.54,0.83,0.46,0.24,0.1,-1.29
20080108,-5.21,-3.37,-1.89,-2.52,-1.74,-1.5,-1.89,-1.63,-0.97,-2.02
20080109,-0.29,1.28,1.1,0.9,1.26,1.12,0.91,1.23,1.29,1.14
20080110,4.43,2.19,1.73,1.54,1.03,1.1,0.37,0.81,0.38,0.19
20080111,-0.25,0.11,-1.33,-1.28,-1.45,-1.21,-1.42,-1.65,-1.51,-2.03
20080114,1.15,1.14,0.84,1.07,0.65,0.67,0.69,1.05,0.61,2.9
20080115,-2.83,-3.29,-2.72,-2.74,-2.43,-1.8,-1.87,-1.99,-2.32,-3.61
20080116,2.15,1.61,1.22,0.79,0.88,0.57,-0.27,-0.37,-2.17,-3.6
20080117,-4,-3.23,-3.61,-2.87,-2.59,-2.35,-2.21,-2.28,-2.74,-4.21
20080118,-1.06,-0.83,-2.46,-0.44,-1.05,-0.06,-0.47,-0.95,-0.16,0.45
20080122,2.74,1.74,1.26,0.68,-0.28,-0.69,-2,-1.82,-1.84,-2.04
20080123,8.09,5.48,4.5,4.79,3.04,1.44,1.61,1.26,1.16,-0.92
20080124,1.24,1.02,1.08,0.35,0.88,-0.16,0.45,1.36,1.75,2.4
20080125,-1.88,-1.89,-1.53,-1.68,-1.33,-1.54,-1.37,-1.23,-1.36,-0.76
20080128,3.75,3.01,2.65,2.79,2.09,1.87,1.42,1.3,0.97,1.38
20080129,2.14,1.42,1.75,1.86,0.55,0.57,0.22,0.69,0.14,0.25
20080130,-1.51,-0.65,-0.95,-1.13,-0.71,-0.43,-0.1,-0.66,-0.33,-0.52
20080131,5.34,2.51,3.01,2.32,1.48,1.5,1.41,1.37,1.06,1.42
20080201,3.93,2.45,1.79,2.86,2.16,1.82,1.72,0.13,0.81,1.49
20080204,-3.89,-1.91,-2.33,-2.17,-1.01,-1.4,-0.62,-0.36,-0.34,-0.34
20080205,-4.07,-4.26,-3.68,-3.08,-2.63,-2.37,-2.65,-3.05,-2.89,-3.39
20080206,-2.07,-1.45,-0.76,-0.68,-0.33,-0.86,-0.65,-0.35,-0.97,-1.42
20080207,3.03,1.14,0.96,1.25,1.33,0.84,0.33,0.46,1.01,0.65
20080208,-2.39,-1.9,-1.23,-1.41,-0.58,-0.66,-0.18,-0.53,0.24,1.52
20080211,-0.57,0.26,0,0.15,-1.38,0.27,0.6,0.76,0.84,2.17
20080212,-0.12,0.78,0.43,0.78,0.88,0.6,0.75,1.09,0.56,-0.03
20080213,1.78,1.33,1.16,1.62,0.88,1.55,1.37,1.31,1.51,2.08
20080214,-2.39,-2.6,-1.55,-2.17,-1.03,-1.42,-1.46,-1.52,-0.88,-0.87
20080215,-0.39,-0.04,-0.04,0.22,0.21,0.21,0.04,0.03,-0.1,-0.39
20080219,-0.91,-0.84,-0.73,-0.06,-0.1,-0.24,-0.09,-0.49,0.34,0.76
20080220,2.08,1.23,1.51,0.99,0.75,0.67,0.79,0.39,0.77,1.18
20080221,-2.4,-1.9,-1.75,-1.37,-0.86,-1.21,-1.15,-0.89,-1.17,-1.66
20080222,1.2,0.27,1.16,0.69,1.16,1.02,0.53,0.62,0.37,0.29
20080225,2.05,0.7,1.58,1.53,2.11,1.56,1.18,1.34,1.53,1.53
20080226,1.24,1.27,0.95,0.65,0.74,0.4,0.49,0.97,1.07,0.17
20080227,-0.45,0.62,-0.25,0.14,0.11,0.42,-0.14,-0.48,-0.31,-0.06
20080228,-3.43,-2.51,-2.82,-1.86,-2.23,-1.05,-1.45,-0.37,0.09,0.46
20080229,-4.77,-3.58,-3.11,-2.75,-3.27,-2.33,-2.55,-2.17,-2.3,-2.94
20080303,-1.69,-1.17,-0.45,0.2,-0.54,-0.06,0.09,0.14,0.16,0.41
20080304,-1.01,-1.33,-0.11,-0.15,-0.25,-0.29,-0.15,-0.03,-0.28,-1.16
20080305,-0.47,-0.13,-0.31,-0.47,0.08,0.27,0.58,0.79,0.88,1.91
20080306,-5.26,-4.37,-3.34,-2.69,-2.02,-2.36,-1.94,-1.47,-2.08,-2.01
20080307,-0.48,-0.71,-0.36,-0.33,-0.41,-0.56,-1.01,-0.62,-1.07,-2.02
20080310,-4.16,-3.71,-2.32,-1.79,-1.89,-1.28,-1.03,-1.31,-1.11,-3.01
20080311,5.09,4.83,5.4,4.33,2.93,3.76,2.58,2.95,3.13,5.15
20080312,-1.98,-1.56,-1.12,-0.97,-0.97,-1.09,-0.62,-0.26,-0.6,-0.69
20080313,0.49,0.93,0.26,0.87,0.34,0.33,0.4,0.5,0.53,2
20080314,-5.21,-2.84,-3.07,-2.7,-2.46,-2.16,-1.62,-1.73,-1.63,-1.65
20080317,-6.26,-2.63,-2.63,-1.23,-1.2,0.33,0.2,-0.26,-1.23,-3.17
20080318,8.81,7.14,6.21,4.64,5.15,3.55,3.76,2.9,3.2,4.41
20080319,-0.53,-2.52,-2.23,-1.35,-1.63,-1.93,-2.17,-1.85,-2.82,-4.86
20080320,6.85,6.45,4.02,3.06,2.84,2.85,2.48,1.59,1.08,0.72
20080324,4.12,2.78,2.65,2.41,1.45,1.52,0.93,1.46,1.31,2.48
20080325,0.21,-0.22,0.07,-0.1,-0.24,0.19,0.21,0.34,0.47,1.9
20080326,-3.73,-2.24,-2.65,-1.62,-1.46,-1.4,-0.92,-0.39,-0.15,1.37
20080327,-1.87,-2.2,-1.83,-1.23,-1.06,-1.3,-1.18,-0.72,-0.73,-1.4
20080328,-3.57,-2.4,-1.95,-1.4,-0.82,-0.65,-0.67,-0.52,-0.29,-0.56
20080331,1.52,1.4,1,1.16,0.14,0.86,1.06,0.03,0.32,0.33
20080401,7.35,6.32,5.58,4.87,4.13,3.75,3.18,2.78,2.58,1.96
20080402,0.23,0.04,0.12,0.28,-0.39,-0.39,-0.53,0.12,-0.13,0.5
20080403,0.87,0.6,0.05,-0.06,0.21,0.01,-0.29,0,-0.09,1.31
20080404,-1.43,-0.83,-0.26,-0.83,-0.19,-0.21,0.36,0.14,0.3,1.95
20080407,1.69,0.57,0.11,0.51,0.31,-0.07,-0.1,0.11,-0.08,0.48
20080408,-2.55,-0.92,-1.43,-1.04,-0.59,-0.57,-0.36,-0.32,0.14,0.6
20080409,-2.62,-2.34,-2.52,-1.69,-1.37,-0.87,-1.07,-0.57,-0.24,-0.13
20080410,0.02,1.05,0.19,1.05,0.17,0.31,0.57,0.65,0.47,0.75
20080411,-2.29,-2.11,-2.2,-2.01,-1.99,-1.59,-1.92,-2.8,-1.36,-2.2
20080414,-2.36,-1.68,-1.31,-1.34,-0.83,-0.6,-0.53,-0.38,0.33,1.34
20080415,0.73,0.42,0.71,0.45,0.72,0.24,-0.04,0.65,0.49,0.69
20080416,2.97,2.48,1.84,2.29,2.58,2.09,1.82,2.24,1.75,3.7
20080417,1.66,0.41,0.72,0.22,-0.04,-0.12,-0.15,-0.13,-0.37,-0.51
20080418,3.23,2.46,2.32,1.4,1.81,1.49,2.17,1.56,0.93,2.19
20080421,-1.35,-0.61,-0.94,-0.32,-0.69,-0.84,-0.27,0.02,-0.09,0.88
20080422,-0.89,-1.87,-2.42,-1.7,-1.86,-1.62,-0.42,-0.61,-0.42,-0.81
20080423,-1.09,0.76,0.25,0.07,0.32,0.16,0.24,0.9,0.27,-0.71
20080424,3.72,2.89,2.66,1.71,1.35,1.58,0.44,0.71,-0.36,-1.37
20080425,2.5,2.02,1.15,0.97,1,0.64,-0.59,0.31,0.22,2.11
20080428,0.36,0.15,0.31,0.28,-0.16,-0.06,-0.1,-0.03,0.09,-0.61
20080429,-0.58,0.81,-0.14,-0.8,-0.19,0.06,0.06,-0.36,0.08,-2.32
20080430,-1.83,-1,-1.14,-0.24,-0.76,-0.19,-0.3,-0.3,0.04,0.34
20080501,3.5,3.27,3.18,3.54,2.83,2.6,1.85,1.93,0.07,-0.49
20080502,0.42,0.39,0.19,-0.2,0.16,0.14,-0.25,0.37,-0.04,1.42
20080505,-1.54,-1.23,-1.07,-0.84,-0.89,-0.73,-0.84,-0.23,-0.3,1.32
20080506,1.93,0.52,0.69,0.4,0.44,0.83,0.65,0.12,0.6,2.29
20080507,-3.63,-2.4,-2.79,-2.16,-1.56,-1.61,-1.64,-1.52,-1.07,-1.66
20080508,-1.12,-0.75,-0.39,-0.02,-0.2,-0.11,0.36,0.51,0.71,1.8
20080509,-0.73,-0.19,-1.6,-0.45,-0.44,-0.24,-0.1,-0.58,-0.7,-0.5
20080512,1.2,1.69,1.46,1.64,1.39,1.3,1.41,1.09,0.65,0.5
20080513,-1.25,-0.19,-0.08,-0.2,-0.62,-0.03,0.19,-0.12,0.18,1.5
20080514,1.46,0.73,0.8,0.84,0.64,0.9,0.34,0.69,0.19,-1.25
20080515,1.54,1.62,1.13,0.78,0.91,0.89,0.93,0.86,0.82,1.94
20080516,-1.36,-0.61,-0.52,-0.47,-0.4,-0.24,0.02,0.07,0.66,1.54
20080519,-0.57,-0.44,-0.19,-0.05,-0.05,-0.02,0.06,-0.01,0.6,-0.74
20080520,-2.17,-1.54,-1.25,-1.28,-1.05,-1.61,-1.33,-0.91,-0.32,1.08
20080521,-2.54,-2.88,-1.89,-1.43,-1.5,-1.71,-0.97,-1.27,-1.22,-2.25
20080522,1.66,0.44,1.19,0.46,0.59,0.4,0.5,0.57,0.22,-0.52
20080523,-1.98,-2.04,-1.95,-1.63,-1.43,-1.37,-1.06,-1.02,-1,-0.99
20080527,0.47,1.32,0.7,0.78,1.12,0.57,1.01,0.82,0.78,-0.12
20080528,0.66,0.03,-0.45,0.07,0.42,0.42,-0.02,0.16,0.82,1.97
20080529,1.84,1.31,1.24,1.17,1.01,0.8,1.13,0.85,0.25,-1.33
20080530,-0.39,-0.18,0.57,-0.13,-0.25,0.15,0.23,0.21,0.27,1.35
20080602,-1.21,-1.56,-1.33,-1.27,-1.05,-1.08,-1.21,-1.03,-0.94,-0.06
20080603,-0.25,-0.59,-0.31,-0.13,-0.06,-0.67,-0.44,-0.92,-0.31,-0.57
20080604,-0.65,0.04,0.22,0.51,-0.07,0.27,0.45,0.38,-0.07,-1.01
20080605,2.66,1.64,1.62,1.36,1.3,1.63,1.55,1.89,2.04,3.73
20080606,-5.13,-3.92,-4.22,-3.74,-3.32,-3.15,-2.96,-2.82,-2.39,-1.36
20080609,-3.15,-2.16,-1.37,-1.06,-0.39,-0.03,-0.39,0.64,0.53,1.45
20080610,0.71,0.23,-0.34,-0.25,0.02,-0.1,0.03,-0.11,-0.47,-1.55
20080611,-3.99,-3.31,-2.86,-2.3,-1.85,-1.8,-1.93,-1.21,-1.29,-0.44
20080612,2.35,0.47,0.36,0.77,0.12,0.8,0.97,0.26,0.02,-1.18
20080613,2.15,1.35,2.17,1.88,1.51,1.74,1.52,1.1,1.42,1.8
20080616,1.66,0.29,0.63,-0.29,0.18,-0.09,0.05,-0.32,0.2,1.05
20080617,-1.83,-2.52,-1.3,-1.27,-0.88,-1.01,-0.71,-0.59,-0.38,1.53
20080618,-1.17,-2.61,-1.49,-1.56,-1.1,-1.05,-1.09,-1.03,-0.67,0.06
20080619,0.55,1.06,0.12,0.95,0.59,0.89,1.04,0.57,-0.08,-1.13
20080620,-3.36,-2.77,-2.57,-2.39,-2.2,-2,-1.82,-1.57,-1.36,-1.03
20080623,-4.27,-3.09,-1.64,-1.68,-0.53,-0.79,-0.28,0.51,0.49,2.28
20080624,0.51,0.24,0.23,0.05,0.45,-0.51,-0.49,-0.48,-0.58,-2.36
20080625,0.83,1.3,1.21,0.86,0.8,0.41,1.05,0.7,0.67,-0.38
20080626,-4.89,-4.18,-4.14,-3.24,-3.67,-2.78,-2.85,-2.19,-2.53,-1.86
20080627,-1.66,-0.93,-0.71,-0.31,-0.84,-0.98,-0.68,-0.7,-0.14,1.27
20080630,-2.17,-2.21,-1.53,-0.06,-0.33,-0.36,0.29,0.29,0.24,0.66
20080701,0.5,0.21,-0.53,0.45,0.47,-0.23,0.08,0.54,0.39,0.48
20080702,-2.35,-2.39,-2.6,-1.42,-1.56,-1.55,-1.59,-0.92,-2.02,-4.65
20080703,-1.32,-1.25,-0.83,0.01,0.18,0.19,0.23,0.27,-0.13,-1.02
20080707,-4.01,-1.33,-1.41,-1.47,-0.77,-0.5,-0.56,-0.46,-0.23,-1.32
20080708,6.96,4.22,4.39,3.26,2.73,1.83,1.38,1,1.52,-0.19
20080709,-6.59,-4.7,-2.91,-2.71,-2.45,-2.51,-1.95,-1.3,-1.33,-1.49
20080710,-3.49,-2.8,-1.1,-0.71,0.7,0.96,0.94,1.11,0.6,2.89
20080711,-3.72,-1.39,-1.78,-1.69,-0.94,-0.88,-0.74,-0.83,-0.82,0.43
20080714,-6.69,-2.8,-1.97,-1.44,-1.75,-0.88,-1.21,-0.45,-0.18,0.72
20080715,-2.53,-1.83,-0.78,-0.95,-0.52,-0.37,0.26,-0.32,-1.16,-3.23
20080716,11.31,6.62,7.23,5.79,4.35,2.28,1.82,0.59,1.38,-0.75
20080717,9.46,5.59,5.17,2,3.66,1.06,0.68,0.22,0.14,-2.79
20080718,3.03,-0.14,0.14,0.08,-0.31,0.13,-0.34,-0.31,-0.12,-0.02
20080721,0.69,0.59,-0.72,-1.16,-0.77,-0.7,0.61,-0.23,0.47,3.24
20080722,6.84,5.27,4.39,2.3,1.75,1.11,1.32,1.37,0.42,-2.71
20080723,2.8,3.53,2.26,2.1,1.41,1.3,-0.06,-0.19,-0.94,-3.92
20080724,-8.86,-5.9,-4.8,-2.61,-2.33,-3.21,-1.11,-0.9,-1.89,-1.16
20080725,-1.25,-0.96,-0.07,0.3,0.51,0.23,0.78,0.46,0.47,1.62
20080728,-6.48,-4.1,-2.38,-2.74,-1.55,-1.65,-1.44,-1.37,-1.2,-0.26
20080729,7.08,7.28,3.86,3.22,2.85,2.31,2.07,1.22,1.45,-0.03
20080730,2.09,1.67,0.45,1.25,0.84,0.51,0.69,1.61,2.27,5
20080731,-0.13,-0.51,-0.45,-1.02,-0.68,-0.86,-0.89,-1.22,-1.31,-2.97
20080801,2.3,0.43,-0.32,-0.17,-0.33,-0.6,-0.29,-0.69,-1.25,-0.57
20080804,-1.69,-0.37,-0.55,-0.03,-0.04,-0.21,0.06,-1.08,-1.61,-6
20080805,7.68,4.03,4.28,3.98,3.49,2.45,2.16,2.12,1.93,0.37
20080806,-0.61,-0.6,0.37,0.11,0.12,0.46,0.18,0.62,0.96,2.13
20080807,-5.13,-4.65,-2.34,-1.86,-1.95,-0.79,-1.53,-0.93,-1.65,-1.53
20080808,3.89,4.02,4.49,3.97,3.46,2.65,2.58,1.65,1.45,-0.97
20080811,1.92,2.8,2.16,1.91,1.16,1.15,1,0.25,-0.13,-0.46
20080812,-5.32,-2.79,-2.15,-1.17,-1.72,-0.6,-0.97,-0.56,-0.78,0.56
20080813,-3.48,-2.59,-1.71,-1.22,-0.71,-0.57,0.12,0.08,0.63,3.59
20080814,3.89,2.17,1.83,1.35,1.33,0.33,0.16,0.13,0.38,-0.69
20080815,1.08,1.65,1.16,0.92,1.02,0.67,0.64,0.1,-0.05,-1.71
20080818,-5,-3.2,-2.27,-1.82,-1.44,-1.36,-1.06,-0.93,-1.04,-0.86
20080819,-4.33,-2.94,-2.69,-2.03,-1.66,-1.48,-0.36,-0.29,-0.65,2.17
20080820,0.79,-0.37,0.43,-0.27,-0.03,0.59,0.29,0.43,0.77,2.5
20080821,-1.15,-0.8,-0.27,0.18,-0.2,-0.16,0.3,0.33,0.4,0.91
20080822,2.69,1.99,2.57,1.75,1.56,1.73,1.03,0.63,0.28,-0.19
20080825,-3.29,-2.77,-2.64,-2.47,-1.79,-1.83,-1.81,-1.67,-1.64,-1.42
20080826,1.08,0.2,0.23,-0.01,0.12,0.14,0.23,0.17,0.82,0.94
20080827,2.67,0.71,1.32,0.68,0.84,0.57,0.84,0.67,0.85,1.22
20080828,5.61,2.64,2.65,2.2,1.81,1.75,1.19,1.37,0.45,-0.13
20080829,-0.29,-0.28,-1.2,-1.35,-1.14,-1.7,-1.23,-1.46,-1.37,-0.99
20080902,1.52,0.68,1.12,0.59,0.36,-0.88,-0.34,-0.88,-0.84,-3.06
20080903,2.23,0.9,0.58,-0.07,-0.23,-0.55,0.12,-0.28,-0.52,-1.32
20080904,-5.97,-4.42,-3.83,-3.2,-2.83,-2.75,-2.42,-2.19,-2.45,-2.61
20080905,3.29,1.06,1.04,0.2,0.55,-0.59,0.23,0.44,0.22,0.73
20080908,1.49,3.67,3.3,3.42,3.34,1.81,1.42,1.33,0.71,-0.96
20080909,-9.16,-4.6,-3.8,-2.91,-3.43,-2.76,-2.88,-2.62,-3.05,-4.24
20080910,-2.64,-0.15,-0.14,-0.09,0.93,0.73,0.85,1.01,1.14,2.49
20080911,-1.7,1.38,0.92,0.84,1.45,1.33,1.51,1.29,1.11,2.29
20080912,-4.13,0.68,-0.86,0.25,0.75,0.97,0.49,0.59,0.31,0.9
20080915,-14.37,-9.84,-5.2,-4.1,-5.02,-3.13,-2.52,-3.16,-3.88,-4.44
20080916,3.83,0.66,1.92,1.93,2.24,1.13,1.4,1.44,1.47,1.95
20080917,-9.58,-7.32,-5.64,-5.89,-3.63,-3.88,-3.66,-3.87,-4.01,-4.17
20080918,18.26,8.71,5.85,5.61,3.62,4,3,3.09,2.85,3.32
20080919,17.54,10.16,5.07,4.04,4.24,3.64,2.91,2.82,2.34,4.19
20080922,-8.02,-6.99,-3.79,-5.06,-5.77,-2.74,-3.58,-2.71,-3.17,-2.31
20080923,-2.29,-1.63,-2.23,-1.52,-1.35,-1.09,-1.78,-1.15,-1.37,-2.08
20080924,-3.29,-1.35,-1,-0.17,-0.09,-0.73,0.13,0.43,0.08,-0.24
20080925,1.01,2.16,2.2,2.2,2.16,1.78,1.45,1.62,1.3,0.96
20080926,-1.34,1.4,0,-0.23,1.23,0.73,0.28,-0.28,-0.34,-1.5
20080929,-17.75,-12.39,-10.13,-9.1,-7.9,-7.47,-5.87,-6.53,-7.78,-8.29
20080930,10.87,7.15,7.12,4.99,5.7,4.46,3.85,3.71,3.94,4.23
20081001,4.7,0.49,-0.03,-0.59,-0.23,-1.18,-0.1,-1.11,-1.28,-1.54
20081002,-3.18,-5.87,-6.64,-4.11,-3.69,-3.48,-3.46,-3.1,-3.66,-6.57
20081003,-6.51,-2.85,-2.01,-1.14,-2.5,-0.53,-1.55,-1.11,-1.16,0.09
20081006,-6.29,-4.17,-3.94,-3.77,-3.21,-4.22,-3.8,-4,-3.92,-3.9
20081007,-11.42,-7.48,-8.85,-5.93,-4.64,-5.97,-5.02,-4.5,-4.62,-5.17
20081008,-3.69,-1.34,-3.13,-1.76,-0.96,-0.45,-1.83,-1.71,-0.53,0.01
20081009,-13.23,-10.18,-7.71,-7.88,-8.01,-6.63,-6.8,-6.74,-6.97,-5.63
20081010,6.46,0.12,-0.59,0.74,-3.12,-2.68,-1.08,-1.78,-0.85,-0.98
20081013,11.78,15.13,10.28,12.41,13.85,10.66,11.92,9.07,10.83,10.77
20081014,8.01,3.14,-0.52,-1.42,-1.33,-1.36,-0.75,-1.26,-2.07,-1.36
20081015,-11.49,-10.52,-9.44,-8.69,-10.84,-9.24,-7.22,-8.55,-7.11,-7.86
20081016,2.3,3.31,3.4,3.89,4.76,5.66,4.08,3.94,4.46,4.99
20081017,-1.99,0.71,-0.27,-0.25,-1.21,-0.9,0.49,-0.12,-0.66,-0.35
20081020,3.69,4.38,3.5,4.96,5.54,4.89,5.14,4.72,3.98,4.68
20081021,-2.62,-3.54,-2.73,-3.47,-3.12,-3.27,-2.87,-3.24,-1.86,-2.8
20081022,-7.43,-6.41,-5.83,-5.92,-6.15,-6.59,-6.29,-4.91,-5.05,-5.08
20081023,-4.46,-1.93,-0.79,0.74,1.28,1.84,0.44,0.32,0.69,-0.83
20081024,-5.35,-4.55,-3.92,-3.3,-3.05,-2.75,-4.36,-2.74,-2.52,-3.11
20081027,-5.7,-3.81,-3.63,-1.88,-3.47,-4.13,-4.04,-2.75,-3.2,-3.37
20081028,12.07,9.32,10.8,11.46,9.92,10.89,10.91,9.24,7.96,7.04
20081029,0.76,0.8,-0.35,-1.84,-0.89,-0.18,0.32,0.39,-1.12,-0.24
20081030,6.28,4.76,2.63,2.2,3.64,3.96,3.09,3.5,2.37,2.26
20081031,4.77,3.35,1.35,1.92,0.9,2.06,1.45,1.66,1.58,3.63
20081103,2.19,0.38,-0.11,-0.93,0.5,-0.31,-0.83,0.06,0.15,-0.01
20081104,5.28,4.8,5.33,5.21,4.52,3.09,4.57,2.9,2.11,1.56
20081105,-7.92,-7.08,-6.58,-5.91,-5.51,-5.04,-5.34,-4.12,-4.21,-3.71
20081106,-8.02,-7.12,-6.52,-6.67,-5.47,-4.87,-4.59,-4.41,-3.4,-3.17
20081107,1.46,3.24,2.51,2.11,3.6,3.03,2.75,3.97,1.82,1.91
20081110,-3.52,-3.51,-2.32,-2.73,-1.22,-1.16,-0.6,-1.39,-1.13,-0.18
20081111,-6.39,-4.62,-3.58,-3.34,-2.44,-1.68,-2.46,-2.13,-1.39,-1.28
20081112,-9.38,-9.34,-6.45,-7.52,-5.77,-4.4,-5.19,-5.04,-3.86,-3.78
20081113,9.59,9.29,7.35,6.29,7.05,8.34,7.62,7.38,5.23,5.83
20081114,-4.31,-6.39,-3.93,-5.02,-5.22,-4.8,-4.25,-3.44,-4.01,-3.83
20081117,-4.45,-4.93,-4.46,-2.22,-3.12,-2.76,-2.3,-1.32,-2.4,-1.31
20081118,-1.41,-1.36,-0.6,-0.13,0.44,1.05,0.99,2.34,0.65,0.11
20081119,-11.86,-11.83,-8.63,-7.58,-6.81,-6.74,-4.79,-4.71,-6.36,-5.51
20081120,-10.58,-11.84,-10.29,-8.69,-8.05,-5.76,-6.49,-5.74,-6.17,-4.63
20081121,5.78,8.1,5.2,6.22,6.12,7.05,6.96,8.21,5.26,3.59
20081124,15.01,15.09,12.81,8.14,9.31,6.86,5.39,4.74,4.07,3.92
20081125,2.73,3.18,3.14,1.65,2.22,0.06,-0.49,0.79,0.81,1.09
20081126,9.46,8.18,7.92,5.85,4.97,4.77,3.53,3.37,2.55,2.38
20081128,4.15,2.7,3.14,2.42,0.39,0.88,0.93,1.47,0.23,0.07
20081201,-15.54,-14.38,-12.2,-11.42,-9.7,-9.62,-7.26,-8.21,-7.84,-8.07
20081202,8.92,6.75,4.28,6.39,4.64,3.62,3.21,3.52,3.43,3.23
20081203,3.5,3.05,2.38,2.58,3.03,3.11,2.64,1.84,2.49,3.01
20081204,-3.8,-2.84,-3.78,-3.5,-3.97,-3.63,-3.07,-2.85,-2.28,-1.83
20081205,7.7,6.15,5.42,4.7,3.39,4.22,2.83,2.75,3.88,3.81
20081208,6.13,8.3,7.58,6.56,5.01,4.35,3.35,3.24,2.29,1.7
20081209,-3.18,-2.38,-1.32,-2.24,-0.52,-2.26,-2.29,-1.96,-2.57,-2.93
20081210,1.18,2.44,2,1.33,1.75,2.29,0.53,1.14,1.26,0.15
20081211,-5.81,-5.03,-3.34,-4.71,-3.22,-3.2,-1.77,-2.14,-2.7,-2.91
20081212,2.76,1.57,1.42,1.58,1.65,0.77,0.47,0.51,1.12,0.85
20081215,-3.29,-3.3,-2.53,-2.07,-1.99,-1.47,-1.32,-1.55,-1.06,-1.03
20081216,8.9,9.39,7.22,6.48,5.57,5.41,5.32,4.18,4.63,4.42
20081217,1.47,0.5,0.45,-0.82,-0.97,-0.69,-0.7,-0.38,-1.71,-0.28
20081218,-4.12,-3.33,-1.94,-3.82,-2.76,-2.54,-1.62,-1.03,-2.27,-0.45
20081219,2.16,-0.08,1.78,1.69,1.18,0.18,0.55,0.3,-0.77,0.22
20081222,-6.2,-5.63,-4.52,-3.53,-2.81,-1.86,-1.91,-1.46,-1.32,-0.12
20081223,-2.09,-2,-2,-0.1,-0.62,-1.29,-0.82,-1.04,-0.68,-0.68
20081224,0.6,1.09,0.86,0.93,0.16,0.4,0.27,0.45,0.64,0.36
20081226,2.04,1.27,1.32,0.72,0.36,0.65,0.65,0.54,0.83,0.25
20081229,-2.17,-1.19,-1.28,-1.27,-1.08,-0.8,-0.04,-0.33,-0.09,-0.5
20081230,4.59,4.24,4.2,2.25,3.42,2.68,2.94,2.02,1.72,2.3
20081231,4.05,3.49,2.77,2.15,1.93,1.52,1.78,1.32,1.54,1.41
20090102,7.69,6.15,4.99,5.31,4.56,3.86,2.6,2.55,2.29,1.09
20090105,4.49,2.07,0.82,1,0.19,-0.02,0.05,-1.27,-0.64,-1.39
20090106,7.74,4.8,3.51,2.24,1.46,1.63,0.65,0.28,-0.42,-0.84
20090107,-5.11,-5.07,-4.38,-3.94,-3.68,-3.37,-2.38,-2.51,-2.41,-2.12
20090108,1.58,2.19,1.82,0.72,1.06,1.09,0.56,0.43,0.12,-1.29
20090109,-2.76,-3.42,-3.01,-2.7,-2.18,-2.5,-1.98,-2.45,-1.77,-1.7
20090112,-7.61,-6.71,-5.25,-3.3,-2.5,-1.98,-1.78,-1.6,-1.31,-1.62
20090113,0.81,0.68,-0.59,-1.02,0.15,0.26,0.51,0.63,0.49,0.49
20090114,-7.2,-7.34,-5.23,-4.67,-3.78,-3.43,-2.66,-2.6,-2.86,-2.85
20090115,-0.44,-0.99,-1.73,0.17,0.83,1.04,0.19,0.49,1.18,-0.05
20090116,1.34,0.11,-0.23,0.75,1.2,1.06,1.07,0.11,1.31,0.12
20090120,-10.15,-10.85,-10.3,-6.8,-6.33,-4.77,-5.13,-4.74,-2.88,-5.55
20090121,7.16,12.56,7.26,3.93,4.77,5.42,3.81,3.81,3.05,2.68
20090122,-3.65,-5.34,-3.67,-0.48,-4.13,-0.64,-1.74,-1.19,-1.1,-1.11
20090123,3.47,3.98,2.87,-0.31,1.06,-0.06,0.69,0.31,0.08,-0.23
